"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Southeast Fairbanks Census Area,"50,669","51,992","54,808",23,2.6,5.4,4
Valdez-Cordova Census Area2,"60,348","62,267",(NA),--,3.2,(NA),--
Wrangell City and Borough,"48,680","48,610","48,549",28,-0.1,-0.1,20
Yakutat City and Borough,"58,780","65,736","66,119",12,11.8,0.6,17
Yukon-Koyukuk Census Area,"56,847","60,189","63,675",15,5.9,5.8,3
,,,,,,,
Arizona,"44,071","45,808","49,648",--,3.9,8.4,--
Apache,"33,324","33,844","38,915",11,1.6,15.0,2
Cochise,"38,892","40,546","45,786",4,4.3,12.9,5
Coconino,"48,416","48,837","53,036",2,0.9,8.6,10
Gila,"38,892","39,720","44,201",6,2.1,11.3,7
Graham,"30,540","31,179","35,072",15,2.1,12.5,6
Greenlee,"39,794","41,082","44,050",7,3.2,7.2,14
La Paz,"32,456","34,387","39,482",10,5.9,14.8,3
Maricopa,"47,606","49,663","53,521",1,4.3,7.8,13
Mohave,"33,083","34,274","36,529",12,3.6,6.6,15
Navajo,"31,400","32,007","36,169",13,1.9,13.0,4
Pima,"43,103","44,649","48,373",3,3.6,8.3,11
Pinal,"31,679","32,699","35,949",14,3.2,9.9,9
Santa Cruz,"37,151","38,274","42,204",8,3.0,10.3,8
Yavapai,"40,098","41,076","44,490",5,2.4,8.3,12
Yuma,"33,672","35,065","40,800",9,4.1,16.4,1
,,,,,,,
Arkansas,"43,446","44,788","47,235",--,3.1,5.5,--
Arkansas,"44,635","46,005","50,534",3,3.1,9.8,11
Ashley,"35,682","37,318","38,489",36,4.6,3.1,70
Baxter,"36,702","37,854","39,950",28,3.1,5.5,52
Benton,"92,758","94,108","94,289",1,1.5,0.2,75
Boone,"35,466","36,174","38,108",41,2.0,5.3,57
Bradley,"38,756","39,097","42,037",14,0.9,7.5,27
Calhoun,"34,321","35,808","38,509",35,4.3,7.5,26
Carroll,"33,298","32,925","34,692",53,-1.1,5.4,56
Chicot,"36,744","38,927","44,762",9,5.9,15.0,3
Clark,"35,696","36,903","39,450",30,3.4,6.9,33
Clay,"34,740","35,973","39,157",32,3.5,8.9,15
Cleburne,"37,876","39,296","41,656",19,3.7,6.0,46
Cleveland,"40,108","39,663","40,366",27,-1.1,1.8,72
Columbia,"36,561","37,225","38,806",33,1.8,4.2,65
Conway,"38,063","38,465","40,633",24,1.1,5.6,50
Craighead,"37,129","38,365","40,728",22,3.3,6.2,43
Crawford,"32,745","33,837","35,919",49,3.3,6.2,44
Crittenden,"36,828","38,397","41,474",21,4.3,8.0,21
Cross,"35,000","37,334","41,715",17,6.7,11.7,10
Dallas,"35,297","37,188","40,611",25,5.4,9.2,14
Desha,"37,227","39,508","44,920",8,6.1,13.7,5
Drew,"36,257","37,906","40,726",23,4.5,7.4,29
Faulkner,"38,103","39,335","41,943",15,3.2,6.6,39
Franklin,"33,011","32,841","33,885",59,-0.5,3.2,69
Fulton,"27,978","28,457","31,840",71,1.7,11.9,9
Garland,"40,053","41,502","44,358",10,3.6,6.9,34
Grant,"37,751","39,324","41,674",18,4.2,6.0,47
Greene,"34,554","35,869","38,560",34,3.8,7.5,28
Hempstead,"31,739","31,799","33,760",60,0.2,6.2,42
Hot Spring,"30,887","31,697","34,110",56,2.6,7.6,24
Howard,"35,903","34,068","34,751",52,-5.1,2.0,71
Independence,"35,115","36,292","38,266",39,3.4,5.4,54
Izard,"30,400","30,681","32,606",66,0.9,6.3,41
Jackson,"37,536","38,054","41,646",20,1.4,9.4,12
Jefferson,"34,510","36,060","39,443",31,4.5,9.4,13
Johnson,"28,685","28,774","30,728",74,0.3,6.8,35
Lafayette,"35,151","35,672","38,307",38,1.5,7.4,30
Lawrence,"33,205","33,601","38,065",42,1.2,13.3,6
Lee,"27,409","30,263","32,359",68,10.4,6.9,32
Lincoln,"26,781","27,710","29,008",75,3.5,4.7,63
Little River,"34,014","34,392","37,075",45,1.1,7.8,23
Logan,"33,286","32,662","34,433",55,-1.9,5.4,55
Lonoke,"39,677","40,825","43,537",12,2.9,6.6,38
Madison,"34,972","33,906","34,012",57,-3.0,0.3,74
Marion,"30,499","31,494","33,493",62,3.3,6.3,40
Miller,"33,580","34,620","37,065",46,3.1,7.1,31
Mississippi,"32,888","35,915","37,730",43,9.2,5.1,61
Monroe,"32,365","35,474","40,475",26,9.6,14.1,4
Montgomery,"30,029","29,748","32,125",70,-0.9,8.0,22
Nevada,"33,470","33,940","35,808",50,1.4,5.5,53
Newton,"29,017","30,265","32,731",65,4.3,8.1,20
Ouachita,"37,224","38,582","41,877",16,3.6,8.5,17
Perry,"35,410","36,201","38,404",37,2.2,6.1,45
Phillips,"31,773","34,052","38,155",40,7.2,12.0,7
Pike,"32,608","32,315","33,920",58,-0.9,5.0,62
Poinsett,"32,482","34,677","37,307",44,6.8,7.6,25
Polk,"30,553","30,512","32,573",67,-0.1,6.8,36
Pope,"34,989","35,416","36,617",47,1.2,3.4,68
Prairie,"36,502","36,273","42,843",13,-0.6,18.1,2
Pulaski,"50,641","52,499","55,563",2,3.7,5.8,48
