"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Cook,"32,303","33,589","36,301",118,4.0,8.1,72
Coweta,"47,395","49,042","52,106",12,3.5,6.2,113
Crawford,"33,841","34,633","37,563",101,2.3,8.5,62
Crisp,"32,341","34,299","37,250",110,6.1,8.6,58
Dade,"35,561","34,992","37,327",107,-1.6,6.7,108
Dawson,"45,988","46,101","48,170",23,0.2,4.5,142
Decatur,"35,527","37,197","40,879",57,4.7,9.9,26
DeKalb,"51,310","52,950","56,428",8,3.2,6.6,111
Dodge,"30,026","31,116","33,419",142,3.6,7.4,91
Dooly,"29,886","32,995","34,582",131,10.4,4.8,136
Dougherty,"34,246","35,951","40,161",64,5.0,11.7,10
Douglas,"35,406","36,772","40,264",62,3.9,9.5,32
Early,"35,805","39,225","42,889",41,9.6,9.3,34
Echols,"28,002","28,417","31,945",145,1.5,12.4,8
Effingham,"41,839","41,988","45,069",29,0.4,7.3,92
Elbert,"35,669","35,899","38,414",91,0.6,7.0,96
Emanuel,"31,778","33,463","37,678",99,5.3,12.6,7
Evans,"33,769","34,065","37,408",104,0.9,9.8,29
Fannin,"36,459","38,128","39,796",72,4.6,4.4,145
Fayette,"66,106","68,696","71,384",3,3.9,3.9,149
Floyd,"37,593","38,630","41,238",52,2.8,6.8,104
Forsyth,"63,462","64,919","67,859",4,2.3,4.5,141
Franklin,"35,349","34,783","35,134",127,-1.6,1.0,157
Fulton,"87,395","92,961","95,683",1,6.4,2.9,153
Gilmer,"35,252","35,979","37,542",102,2.1,4.3,146
Glascock,"32,979","34,576","36,615",115,4.8,5.9,120
Glynn,"46,614","47,795","50,480",17,2.5,5.6,122
Gordon,"34,849","35,882","37,759",96,3.0,5.2,130
Grady,"34,108","35,195","37,725",97,3.2,7.2,94
Greene,"60,073","60,578","61,326",6,0.8,1.2,156
Gwinnett,"41,877","43,573","46,886",26,4.0,7.6,84
Habersham,"34,002","35,006","36,691",114,3.0,4.8,135
Hall,"44,831","46,409","48,759",21,3.5,5.1,132
Hancock,"29,983","30,931","33,557",140,3.2,8.5,60
Haralson,"36,186","37,319","39,401",77,3.1,5.6,125
Harris,"47,669","49,048","51,168",15,2.9,4.3,147
Hart,"37,741","37,980","39,402",76,0.6,3.7,150
Heard,"31,404","32,162","34,362",133,2.4,6.8,102
Henry,"39,521","40,305","43,812",37,2.0,8.7,53
Houston,"42,784","43,847","46,579",27,2.5,6.2,115
Irwin,"32,984","34,748","38,364",92,5.3,10.4,19
Jackson,"43,180","42,927","45,099",28,-0.6,5.1,133
Jasper,"37,560","38,411","40,541",58,2.3,5.5,128
Jeff Davis,"29,901","31,948","34,341",134,6.8,7.5,89
Jefferson,"32,684","34,766","39,544",75,6.4,13.7,4
Jenkins,"28,688","30,524","33,497",141,6.4,9.7,31
Johnson,"24,822","25,343","27,965",155,2.1,10.3,20
Jones,"37,154","38,843","41,436",51,4.5,6.7,107
Lamar,"33,093","34,457","37,303",109,4.1,8.3,68
Lanier,"27,463","28,598","31,021",149,4.1,8.5,61
Laurens,"37,385","38,249","41,650",50,2.3,8.9,48
Lee,"46,245","47,926","51,908",13,3.6,8.3,67
Liberty,"36,766","36,969","40,087",67,0.6,8.4,63
Lincoln,"36,247","37,797","40,424",60,4.3,7.0,99
Long,"27,610","28,002","29,738",153,1.4,6.2,116
Lowndes,"37,150","38,136","41,117",54,2.7,7.8,80
Lumpkin,"38,117","39,041","41,181",53,2.4,5.5,129
McDuffie,"35,763","37,740","41,111",55,5.5,8.9,47
McIntosh,"31,032","31,770","34,500",132,2.4,8.6,59
Macon,"29,773","31,843","33,955",136,7.0,6.6,110
Madison,"37,075","37,625","38,890",85,1.5,3.4,152
Marion,"29,193","29,832","31,621",148,2.2,6.0,119
Meriwether,"34,437","35,604","39,121",83,3.4,9.9,27
Miller,"43,499","46,158","49,844",18,6.1,8.0,76
Mitchell,"33,947","36,448","39,711",73,7.4,9.0,46
Monroe,"44,774","46,580","48,985",20,4.0,5.2,131
Montgomery,"29,016","30,196","34,061",135,4.1,12.8,6
Morgan,"50,724","52,550","55,032",10,3.6,4.7,137
Murray,"30,402","31,148","33,841",138,2.5,8.6,56
Muscogee,"43,215","44,896","48,080",25,3.9,7.1,95
Newton,"34,033","34,829","38,256",94,2.3,9.8,28
Oconee,"66,432","71,604","71,768",2,7.8,0.2,158
Oglethorpe,"36,686","37,243","38,236",95,1.5,2.7,154
Paulding,"38,249","39,309","42,595",43,2.8,8.4,65
Peach,"36,947","38,915","41,931",49,5.3,7.8,81
Pickens,"47,461","48,712","50,868",16,2.6,4.4,144
Pierce,"35,671","36,889","39,979",70,3.4,8.4,64
Pike,"40,168","41,710","44,311",34,3.8,6.2,114
Polk,"32,097","33,470","36,190",120,4.3,8.1,70
Pulaski,"30,734","31,876","34,636",130,3.7,8.7,54
Putnam,"43,753","45,402","48,498",22,3.8,6.8,103
Quitman,"30,839","30,994","34,810",129,0.5,12.3,9
Rabun,"40,470","41,317","44,160",36,2.1,6.9,101
Randolph,"31,828","33,565","37,204",111,5.5,10.8,15
Richmond,"37,321","38,663","41,999",47,3.6,8.6,57
Rockdale,"35,074","36,434","40,051",68,3.9,9.9,25
Schley,"31,890","33,278","35,588",123,4.4,6.9,100
Screven,"33,563","34,880","37,694",98,3.9,8.1,74
Seminole,"41,511","45,837","48,082",24,10.4,4.9,134
Spalding,"34,319","35,579","38,792",88,3.7,9.0,43
Stephens,"36,804","37,417","40,153",66,1.7,7.3,93
Stewart,"21,687","22,591","25,041",157,4.2,10.8,14
Sumter,"35,051","37,011","40,387",61,5.6,9.1,41
Talbot,"33,694","35,033","38,621",90,4.0,10.2,22
Taliaferro,"32,818","36,923","36,860",112,12.5,-0.2,159
Tattnall,"28,268","28,462","30,222",150,0.7,6.2,117
Taylor,"30,456","32,157","33,630",139,5.6,4.6,140
Telfair,"20,755","20,826","22,644",158,0.3,8.7,52
Terrell,"38,739","41,393","44,976",31,6.9,8.7,55
Thomas,"44,536","45,470","49,443",19,2.1,8.7,51
Tift,"37,273","38,346","42,279",44,2.9,10.3,21
Toombs,"34,881","35,912","40,041",69,3.0,11.5,11
Towns,"38,273","40,105","42,908",40,4.8,7.0,97
Treutlen,"28,662","28,946","31,899",147,1.0,10.2,24
Troup,"35,676","37,461","40,920",56,5.0,9.2,38
Turner,"33,394","36,111","39,281",79,8.1,8.8,50
Twiggs,"40,393","40,913","44,686",33,1.3,9.2,40
Union,"36,919","38,294","39,839",71,3.7,4.0,148
Upson,"34,893","36,600","39,391",78,4.9,7.6,83
Walker,"32,834","33,883","36,157",121,3.2,6.7,106
Walton,"41,047","42,588","44,977",30,3.8,5.6,123
Ware,"33,082","33,737","37,306",108,2.0,10.6,18
Warren,"33,999","36,015","39,545",74,5.9,9.8,30
Washington,"34,685","35,889","39,151",82,3.5,9.1,42
Wayne,"31,330","31,927","34,877",128,1.9,9.2,37
Webster,"32,221","33,487","36,032",122,3.9,7.6,86
Wheeler,"18,465","18,944","21,087",159,2.6,11.3,13
White,"35,641","36,814","38,858",86,3.3,5.6,127
Whitfield,"39,105","40,622","43,456",38,3.9,7.0,98
Wilcox,"26,687","28,621","29,895",152,7.2,4.5,143
Wilkes,"40,172","41,337","42,093",45,2.9,1.8,155
Wilkinson,"35,334","37,209","40,158",65,5.3,7.9,78
Worth,"34,010","36,250","39,102",84,6.6,7.9,79
,,,,,,,
Hawaii,"53,534","55,464","58,655",--,3.6,5.8,--
Hawaii,"40,925","42,551","46,281",4,4.0,8.8,1
Honolulu,"57,468","59,329","62,793",1,3.2,5.8,3
Kauai,"48,497","50,967","54,089",2,5.1,6.1,2
Maui + Kalawao,"47,886","50,536","51,838",3,5.5,2.6,4
,,,,,,,
Idaho,"43,766","45,741","48,759",--,4.5,6.6,--
Ada,"53,014","54,506","57,215",3,2.8,5.0,38
Adams,"36,701","39,154","41,066",34,6.7,4.9,39
Bannock,"37,202","38,595","41,272",33,3.7,6.9,31
Bear Lake,"39,545","42,115","46,370",18,6.5,10.1,19
Benewah,"37,448","39,409","42,803",27,5.2,8.6,25
Bingham,"35,323","37,758","42,541",30,6.9,12.7,9
Blaine,"112,089","116,542","117,681",1,4.0,1.0,44
Boise,"40,739","42,821","45,422",20,5.1,6.1,33
Bonner,"40,496","42,190","44,751",21,4.2,6.1,34
Bonneville,"48,007","52,881","54,601",5,10.2,3.3,43
Boundary,"36,048","37,189","39,272",40,3.2,5.6,36
Butte,"39,925","43,651","51,370",9,9.3,17.7,2
Camas,"43,000","51,540","53,373",6,19.9,3.6,42
Canyon,"33,435","34,640","37,611",43,3.6,8.6,26
Caribou,"38,219","41,449","48,595",14,8.5,17.2,3
Cassia,"43,245","46,027","51,149",10,6.4,11.1,15
Clark,"43,783","41,440","47,615",16,-5.4,14.9,5
Clearwater,"35,043","35,730","39,140",42,2.0,9.5,21
Custer,"41,773","43,698","48,718",13,4.6,11.5,12
Elmore,"36,582","39,539","42,033",32,8.1,6.3,32
Franklin,"34,420","36,580","40,495",37,6.3,10.7,17
Fremont (includes Yellowstone National Park),"34,443","37,292","40,803",36,8.3,9.4,22
Gem,"37,755","39,663","42,561",29,5.1,7.3,30
Gooding,"52,886","59,569","68,597",2,12.6,15.2,4
Idaho,"33,955","35,343","39,182",41,4.1,10.9,16
Jefferson,"34,559","36,926","40,288",38,6.8,9.1,24
Jerome,"35,514","38,003","42,332",31,7.0,11.4,13
Kootenai,"45,311","46,762","48,953",12,3.2,4.7,40
Latah,"39,641","41,442","43,944",24,4.5,6.0,35
Lemhi,"40,720","43,160","47,981",15,6.0,11.2,14
Lewis,"46,246","48,762","54,918",4,5.4,12.6,10
Lincoln,"34,792","40,318","45,593",19,15.9,13.1,8
Madison,"27,165","28,436","30,838",44,4.7,8.4,27
Minidoka,"38,181","40,939","46,743",17,7.2,14.2,6
Nez Perce,"44,373","46,305","50,550",11,4.4,9.2,23
Oneida,"35,345","38,399","43,117",26,8.6,12.3,11
Owyhee,"35,423","38,606","42,616",28,9.0,10.4,18
Payette,"39,461","41,274","44,312",22,4.6,7.4,28
Power,"37,770","42,421","52,807",7,12.3,24.5,1
Shoshone,"35,168","36,063","40,953",35,2.5,13.6,7
Teton,"39,527","41,258","43,521",25,4.4,5.5,37
Twin Falls,"39,698","41,092","44,112",23,3.5,7.3,29
Valley,"48,829","50,329","52,298",8,3.1,3.9,41
Washington,"34,706","36,515","40,050",39,5.2,9.7,20
,,,,,,,
Illinois,"57,240","59,115","62,930",--,3.3,6.5,--
Adams,"46,466","47,593","51,779",30,2.4,8.8,72
Alexander,"34,510","37,560","43,272",86,8.8,15.2,15
Bond,"36,565","38,008","41,745",90,3.9,9.8,59
Boone,"47,321","48,062","51,066",37,1.6,6.3,94
Brown,"34,867","36,759","41,094",95,5.4,11.8,34
Bureau,"40,682","42,352","47,081",63,4.1,11.2,42
Calhoun,"41,418","43,234","47,665",56,4.4,10.2,51
Carroll,"43,501","44,351","50,871",40,2.0,14.7,19
Cass,"39,935","41,180","48,079",54,3.1,16.8,7
Champaign,"44,277","45,591","49,187",45,3.0,7.9,79
Christian,"41,014","42,155","46,873",67,2.8,11.2,40
Clark,"41,026","41,993","46,560",69,2.4,10.9,46
Clay,"40,226","39,623","45,559",75,-1.5,15.0,17
Clinton,"46,004","48,033","51,095",36,4.4,6.4,91
Coles,"39,952","42,106","45,967",72,5.4,9.2,69
Cook,"63,491","65,817","69,935",4,3.7,6.3,93
Crawford,"45,127","46,662","50,986",39,3.4,9.3,67
Cumberland,"73,616","73,276","80,116",2,-0.5,9.3,66
DeKalb,"40,515","41,918","45,555",76,3.5,8.7,73
De Witt,"46,775","46,742","53,339",23,-0.1,14.1,22
Douglas,"50,454","51,099","55,721",15,1.3,9.0,70
DuPage,"73,559","76,331","79,127",3,3.8,3.7,100
Edgar,"40,698","41,635","48,411",51,2.3,16.3,9
Edwards,"40,053","40,659","45,295",77,1.5,11.4,37
Effingham,"49,214","50,707","54,838",16,3.0,8.1,76
Fayette,"35,232","36,244","40,786",96,2.9,12.5,28
Ford,"48,240","51,927","58,512",11,7.6,12.7,27
Franklin,"36,944","37,648","41,625",93,1.9,10.6,48
Fulton,"37,411","38,014","42,264",88,1.6,11.2,41
Gallatin,"39,824","42,731","48,856",46,7.3,14.3,21
Greene,"35,421","35,876","42,437",87,1.3,18.3,2
Grundy,"54,647","59,397","61,862",7,8.7,4.2,99
Hamilton,"42,266","43,371","48,255",52,2.6,11.3,39
Hancock,"43,445","44,482","51,388",32,2.4,15.5,13
Hardin,"36,414","37,228","40,720",97,2.2,9.4,65
Henderson,"41,700","41,304","48,805",47,-0.9,18.2,3
Henry,"45,006","46,088","51,103",35,2.4,10.9,45
Iroquois,"42,897","44,138","51,824",29,2.9,17.4,4
Jackson,"36,450","37,345","40,297",98,2.5,7.9,78
Jasper,"40,616","41,157","48,090",53,1.3,16.8,6
Jefferson,"39,183","40,141","44,163",81,2.4,10.0,56
Jersey,"41,665","42,742","46,828",68,2.6,9.6,64
Jo Daviess,"47,262","48,547","53,399",22,2.7,10.0,57
Johnson,"35,890","36,561","39,793",100,1.9,8.8,71
Kane,"51,393","52,654","55,976",14,2.5,6.3,92
Kankakee,"41,173","42,857","46,988",65,4.1,9.6,62
Kendall,"49,244","50,577","53,998",19,2.7,6.8,89
Knox,"38,982","39,567","44,921",78,1.5,13.5,23
Lake,"79,644","82,580","85,159",1,3.7,3.1,101
LaSalle,"44,203","45,403","49,292",44,2.7,8.6,74
Lawrence,"30,328","30,565","35,878",101,0.8,17.4,5
Lee,"41,131","42,167","47,249",59,2.5,12.1,33
Livingston,"44,522","44,840","52,100",27,0.7,16.2,10
Logan,"36,635","37,131","41,682",92,1.4,12.3,31
McDonough,"37,728","37,675","41,685",91,-0.1,10.6,47
McHenry,"55,474","57,126","60,097",9,3.0,5.2,96
McLean,"49,302","49,760","54,639",17,0.9,9.8,60
Macon,"47,662","48,151","52,196",26,1.0,8.4,75
Macoupin,"40,607","41,715","45,948",73,2.7,10.1,54
Madison,"46,273","48,261","51,433",31,4.3,6.6,90
Marion,"41,322","42,636","46,966",66,3.2,10.2,53
Marshall,"45,334","45,100","51,165",34,-0.5,13.4,24
Mason,"40,755","40,716","47,178",61,-0.1,15.9,11
Massac,"37,138","39,601","44,089",83,6.6,11.3,38
Menard,"45,609","46,531","51,028",38,2.0,9.7,61
Mercer,"46,083","46,961","53,966",20,1.9,14.9,18
Monroe,"57,014","58,637","61,366",8,2.8,4.7,97
Montgomery,"35,146","35,771","40,180",99,1.8,12.3,30
Morgan,"39,039","39,832","43,763",84,2.0,9.9,58
Moultrie,"63,193","68,682","69,297",5,8.7,0.9,102
Ogle,"45,986","46,704","50,110",41,1.6,7.3,85
Peoria,"49,828","50,668","54,609",18,1.7,7.8,81
Perry,"36,623","37,749","41,366",94,3.1,9.6,63
Piatt,"53,874","54,025","59,952",10,0.3,11.0,44
Pike,"40,132","40,887","47,052",64,1.9,15.1,16
Pope,"28,930","29,451","33,286",102,1.8,13.0,26
Pulaski,"36,034","37,776","43,533",85,4.8,15.2,14
Putnam,"58,408","64,023","66,839",6,9.6,4.4,98
Randolph,"36,105","37,946","41,919",89,5.1,10.5,49
Richland,"40,796","41,737","46,318",71,2.3,11.0,43
Rock Island,"44,137","44,418","48,492",50,0.6,9.2,68
St. Clair,"44,570","46,124","49,646",42,3.5,7.6,82
Saline,"39,105","40,205","44,321",80,2.8,10.2,52
Sangamon,"47,769","49,380","52,891",24,3.4,7.1,87
Schuyler,"41,546","43,995","49,505",43,5.9,12.5,29
Scott,"41,434","40,736","47,152",62,-1.7,15.8,12
Shelby,"39,748","39,898","45,745",74,0.4,14.7,20
Stark,"43,303","42,358","51,267",33,-2.2,21.0,1
Stephenson,"41,701","43,106","46,534",70,3.4,8.0,77
Tazewell,"47,615","48,302","51,920",28,1.4,7.5,83
Union,"41,842","43,107","48,028",55,3.0,11.4,36
Vermilion,"38,433","39,696","44,533",79,3.3,12.2,32
Wabash,"42,412","43,194","47,543",57,1.8,10.1,55
Warren,"40,693","40,489","47,232",60,-0.5,16.7,8
Washington,"47,238","48,131","53,789",21,1.9,11.8,35
Wayne,"37,839","38,950","44,127",82,2.9,13.3,25
White,"48,533","48,700","52,223",25,0.3,7.2,86
Whiteside,"43,056","44,170","48,757",48,2.6,10.4,50
Will,"53,125","54,456","57,700",12,2.5,6.0,95
Williamson,"44,050","45,418","48,625",49,3.1,7.1,88
Winnebago,"43,166","43,972","47,404",58,1.9,7.8,80
Woodford,"52,346","52,845","56,797",13,1.0,7.5,84
,,,,,,,
Indiana,"47,292","48,980","51,926",--,3.6,6.0,--
Adams,"39,244","39,986","42,452",74,1.9,6.2,65
Allen,"46,677","47,828","50,327",19,2.5,5.2,78
Bartholomew,"51,441","53,268","55,804",8,3.6,4.8,85
Benton,"40,345","41,575","48,450",32,3.0,16.5,1
Blackford,"37,179","38,529","41,561",82,3.6,7.9,39
Boone,"74,825","77,641","80,314",2,3.8,3.4,90
Brown,"47,440","49,687","51,505",15,4.7,3.7,89
Carroll,"42,307","43,243","46,792",44,2.2,8.2,33
Cass,"38,531","40,398","44,305",66,4.8,9.7,13
Clark,"43,880","45,231","48,210",33,3.1,6.6,60
Clay,"37,546","38,246","41,941",79,1.9,9.7,14
Clinton,"38,878","39,760","43,027",72,2.3,8.2,32
Crawford,"33,834","34,790","38,276",90,2.8,10.0,10
Daviess,"42,512","44,086","47,919",37,3.7,8.7,25
Dearborn,"47,799","50,207","52,778",13,5.0,5.1,80
Decatur,"42,470","44,414","48,033",35,4.6,8.1,35
DeKalb,"44,159","46,467","48,937",30,5.2,5.3,76
Delaware,"36,727","38,153","40,948",86,3.9,7.3,47
Dubois,"55,580","56,927","59,524",5,2.4,4.6,87
Elkhart,"46,541","46,845","49,875",23,0.7,6.5,62
Fayette,"40,252","41,537","45,375",55,3.2,9.2,18
Floyd,"55,305","57,236","60,233",3,3.5,5.2,77
Fountain,"39,782","40,541","44,685",60,1.9,10.2,8
Franklin,"46,082","47,405","51,316",16,2.9,8.3,30
Fulton,"41,710","43,186","46,613",46,3.5,7.9,38
Gibson,"44,822","45,743","48,976",29,2.1,7.1,56
Grant,"40,073","40,647","43,997",69,1.4,8.2,31
Greene,"39,141","41,210","44,437",63,5.3,7.8,41
Hamilton,"76,293","78,343","80,426",1,2.7,2.7,92
Hancock,"51,058","52,151","55,084",10,2.1,5.6,72
Harrison,"42,212","43,675","46,468",47,3.5,6.4,63
Hendricks,"50,539","51,614","55,169",9,2.1,6.9,59
Henry,"38,092","39,833","43,016",73,4.6,8.0,37
Howard,"41,689","42,409","44,945",59,1.7,6.0,68
Huntington,"41,674","42,630","45,969",50,2.3,7.8,40
Jackson,"43,374","44,568","47,673",40,2.8,7.0,57
Jasper,"43,614","45,113","48,987",28,3.4,8.6,28
Jay,"38,551","37,883","42,194",76,-1.7,11.4,6
Jefferson,"42,315","44,456","48,068",34,5.1,8.1,36
Jennings,"39,612","41,770","45,380",54,5.4,8.6,26
Johnson,"48,999","50,596","53,081",12,3.3,4.9,82
Knox,"44,094","44,926","49,156",27,1.9,9.4,17
Kosciusko,"47,670","48,877","51,687",14,2.5,5.7,71
Lagrange,"42,943","42,717","45,115",58,-0.5,5.6,73
Lake,"45,236","45,974","49,229",26,1.6,7.1,55
LaPorte,"42,248","43,065","46,274",48,1.9,7.5,45
Lawrence,"40,664","42,567","45,897",51,4.7,7.8,42
Madison,"37,918","39,410","42,283",75,3.9,7.3,50
Marion,"52,513","56,383","59,264",6,7.4,5.1,81
Marshall,"41,769","42,204","45,277",56,1.0,7.3,51
Martin,"38,391","40,169","44,160",67,4.6,9.9,11
Miami,"34,632","35,442","37,669",91,2.3,6.3,64
Monroe,"42,192","44,014","46,693",45,4.3,6.1,66
Montgomery,"39,534","41,060","44,415",65,3.9,8.2,34
Morgan,"44,038","45,667","47,894",38,3.7,4.9,83
Newton,"39,533","40,954","46,215",49,3.6,12.8,2
Noble,"40,021","41,496","44,436",64,3.7,7.1,54
Ohio,"39,925","41,514","44,555",62,4.0,7.3,48
Orange,"37,740","38,167","41,640",81,1.1,9.1,20
Owen,"39,837","41,570","45,143",57,4.4,8.6,27
Parke,"35,798","37,924","41,554",83,5.9,9.6,15
Perry,"37,577","37,905","40,140",87,0.9,5.9,69
Pike,"40,160","41,612","44,603",61,3.6,7.2,52
Porter,"53,520","54,814","57,654",7,2.4,5.2,79
Posey,"48,136","51,656","54,646",11,7.3,5.8,70
Pulaski,"42,840","44,831","50,558",18,4.6,12.8,3
Putnam,"37,410","38,575","41,404",85,3.1,7.3,46
Randolph,"37,567","39,095","44,027",68,4.1,12.6,4
Ripley,"41,761","43,024","46,992",42,3.0,9.2,19
Rush,"44,792","46,328","49,889",22,3.4,7.7,44
St. Joseph,"47,718","48,244","51,141",17,1.1,6.0,67
Scott,"37,487","38,776","41,981",78,3.4,8.3,29
Shelby,"43,715","45,153","48,628",31,3.3,7.7,43
Spencer,"43,605","45,829","47,890",39,5.1,4.5,88
Starke,"34,643","35,468","38,910",89,2.4,9.7,12
Steuben,"43,764","45,556","48,032",36,4.1,5.4,74
Sullivan,"35,499","36,583","39,903",88,3.1,9.1,22
Switzerland,"31,534","32,559","35,647",92,3.3,9.5,16
Tippecanoe,"38,942","39,533","41,446",84,1.5,4.8,84
Tipton,"45,875","47,072","50,127",20,2.6,6.5,61
Union,"38,664","39,613","43,626",70,2.5,10.1,9
Vanderburgh,"45,350","47,499","50,033",21,4.7,5.3,75
Vermillion,"37,068","37,996","41,997",77,2.5,10.5,7
Vigo,"37,829","39,100","41,895",80,3.4,7.1,53
Wabash,"41,972","42,942","46,847",43,2.3,9.1,21
Warren,"43,529","44,397","49,845",24,2.0,12.3,5
Warrick,"56,722","58,628","60,188",4,3.4,2.7,91
Washington,"38,985","39,989","43,519",71,2.6,8.8,24
Wayne,"40,945","42,400","45,499",53,3.6,7.3,49
Wells,"41,889","42,730","45,704",52,2.0,7.0,58
White,"42,766","43,768","47,633",41,2.3,8.8,23
Whitley,"45,155","47,029","49,256",25,4.2,4.7,86
,,,,,,,
Iowa,"49,548","50,533","53,478",--,2.0,5.8,--
Adair,"51,910","51,911","56,422",21,0.0,8.7,14
Adams,"60,013","57,401","59,569",7,-4.4,3.8,88
Allamakee,"46,440","48,046","51,107",52,3.5,6.4,48
Appanoose,"38,183","38,918","42,125",96,1.9,8.2,22
Audubon,"50,456","51,186","54,313",31,1.4,6.1,54
Benton,"52,840","53,675","57,277",16,1.6,6.7,42
Black Hawk,"45,028","46,103","49,133",66,2.4,6.6,45
Boone,"47,380","49,084","52,028",47,3.6,6.0,56
Bremer,"48,625","49,138","52,608",43,1.1,7.1,33
Buchanan,"47,927","48,404","51,065",53,1.0,5.5,69
Buena Vista,"45,429","44,069","48,077",71,-3.0,9.1,10
Butler,"45,903","46,750","49,428",65,1.8,5.7,62
Calhoun,"48,536","49,151","52,585",44,1.3,7.0,34
Carroll,"54,375","53,342","56,244",22,-1.9,5.4,70
Cass,"47,134","48,355","50,849",56,2.6,5.2,73
Cedar,"53,606","54,041","56,528",20,0.8,4.6,82
Cerro Gordo,"51,458","50,746","53,643",36,-1.4,5.7,63
Cherokee,"60,086","56,677","60,881",4,-5.7,7.4,30
Chickasaw,"57,666","55,503","59,495",9,-3.8,7.2,32
Clarke,"41,375","40,631","43,807",92,-1.8,7.8,26
Clay,"49,896","51,093","54,395",29,2.4,6.5,46
Clayton,"48,440","49,496","53,657",34,2.2,8.4,18
Clinton,"43,926","44,909","48,328",70,2.2,7.6,28
Crawford,"41,049","42,083","45,230",88,2.5,7.5,29
Dallas,"67,409","67,878","70,851",1,0.7,4.4,84
Davis,"38,647","39,508","41,649",98,2.2,5.4,71
Decatur,"34,732","35,075","38,347",99,1.0,9.3,7
Delaware,"51,013","50,248","54,843",26,-1.5,9.1,9
Des Moines,"48,752","49,577","51,704",48,1.7,4.3,86
Dickinson,"59,230","61,473","63,319",2,3.8,3.0,93
Dubuque,"49,703","51,329","54,751",28,3.3,6.7,43
Emmet,"44,570","45,441","46,654",79,2.0,2.7,94
Fayette,"43,776","43,734","47,373",76,-0.1,8.3,20
Floyd,"46,364","47,251","50,215",60,1.9,6.3,51
Franklin,"47,140","47,032","51,028",54,-0.2,8.5,16
Fremont,"43,761","47,724","50,870",55,9.1,6.6,44
Greene,"46,954","48,006","52,647",42,2.2,9.7,5
Grundy,"51,112","51,819","55,615",23,1.4,7.3,31
Guthrie,"51,844","51,268","54,755",27,-1.1,6.8,40
Hamilton,"54,236","50,543","51,584",50,-6.8,2.1,96
Hancock,"52,790","51,365","54,318",30,-2.7,5.7,61
Hardin,"48,418","47,644","50,328",59,-1.6,5.6,65
Harrison,"45,088","47,471","49,678",64,5.3,4.6,81
Henry,"42,808","43,772","46,541",80,2.3,6.3,50
Howard,"48,497","48,597","52,726",41,0.2,8.5,15
Humboldt,"48,589","49,859","52,298",46,2.6,4.9,78
Ida,"50,870","52,025","57,429",15,2.3,10.4,2
Iowa,"53,500","54,941","58,759",11,2.7,6.9,35
Jackson,"44,437","45,994","49,878",63,3.5,8.4,17
Jasper,"42,019","43,692","46,473",81,4.0,6.4,49
Jefferson,"40,207","40,903","42,674",95,1.7,4.3,85
Johnson,"53,822","54,769","56,573",19,1.8,3.3,91
Jones,"43,438","44,454","47,506",75,2.3,6.9,36
Keokuk,"43,852","44,403","48,599",68,1.3,9.4,6
Kossuth,"51,412","50,442","53,422",37,-1.9,5.9,57
Lee,"41,094","42,953","45,548",87,4.5,6.0,55
Linn,"52,725","53,578","56,592",18,1.6,5.6,66
Louisa,"41,954","42,777","44,821",89,2.0,4.8,80
Lucas,"41,442","42,585","44,707",91,2.8,5.0,76
Lyon,"57,059","55,786","57,766",13,-2.2,3.5,90
Madison,"49,150","50,345","53,244",38,2.4,5.8,60
Mahaska,"43,180","43,462","46,388",82,0.7,6.7,41
Marion,"48,351","50,704","53,648",35,4.9,5.8,58
Marshall,"42,260","43,722","47,696",74,3.5,9.1,11
Mills,"54,814","58,598","60,384",5,6.9,3.0,92
Mitchell,"63,254","62,670","62,037",3,-0.9,-1.0,98
Monona,"44,626","46,952","50,807",57,5.2,8.2,23
Monroe,"43,339","45,325","48,423",69,4.6,6.8,38
Montgomery,"41,346","42,740","45,665",85,3.4,6.8,37
Muscatine,"46,619","48,157","51,135",51,3.3,6.2,52
O'Brien,"54,381","54,710","57,629",14,0.6,5.3,72
Osceola,"51,758","48,362","50,706",58,-6.6,4.8,79
Page,"41,071","42,970","47,321",77,4.6,10.1,3
Palo Alto,"54,550","50,554","51,679",49,-7.3,2.2,95
Plymouth,"55,481","56,634","59,460",10,2.1,5.0,75
Pocahontas,"53,255","52,929","53,074",39,-0.6,0.3,97
Polk,"52,762","54,049","57,080",17,2.4,5.6,67
Pottawattamie,"44,820","45,642","47,921",72,1.8,5.0,74
Poweshiek,"44,959","46,021","50,139",62,2.4,8.9,12
Ringgold,"45,840","46,574","50,196",61,1.6,7.8,27
Sac,"54,227","56,400","59,653",6,4.0,5.8,59
Scott,"53,655","55,094","58,465",12,2.7,6.1,53
Shelby,"51,543","52,317","55,229",24,1.5,5.6,68
Sioux,"53,439","52,234","55,209",25,-2.3,5.7,64
Story,"42,525","44,100","45,951",83,3.7,4.2,87
Tama,"45,254","46,647","52,315",45,3.1,12.2,1
Taylor,"40,877","41,479","44,763",90,1.5,7.9,24
Union,"40,565","41,084","43,735",93,1.3,6.5,47
Van Buren,"40,690","40,328","41,781",97,-0.9,3.6,89
Wapello,"38,404","39,576","42,889",94,3.1,8.4,19
Warren,"50,327","51,955","54,251",32,3.2,4.4,83
