"02198","Prince of Wales-Hyder Census Area","AK*",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),183100,187759,192674,204593,225245,230631,235104,236215,246890,251947,263853,260584
"02201","Prince of Wales-Outer Ketchikan Census Area","AK",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",188115,195903,199762,194861,186768,174896,165251,157909,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"02220","Sitka City and Borough","AK",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",396803,397538,413521,404239,417265,418828,418907,415235,432631,458176,484055,487457,506307,490049,470827,427618,435881,444383,441235,385262
"02230","Skagway Municipality","AK*",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),59918,72401,74193,70830,88885,88079,84452,87725,99824,102737,98621,99677,70752
"02232","Skagway-Hoonah-Angoon Census Area","AK*",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",152195,155796,151588,135791,137908,141860,139821,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"02240","Southeast Fairbanks Census Area","AK",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",420278,302710,337048,357470,498870,727646,915110,780453,792069,827795,776879,620484,647812,639507,581697,617032,692558,658023,602812,622826
"02261","Valdez-Cordova Census Area","AK",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",589487,1409469,1362052,1357754,1053594,1166106,1295397,863397,697738,590061,550771,1565753,1950894,2080089,2328804,2286114,2132610,2098601,2255039,(NA)
"02275","Wrangell City and Borough","AK*",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),68316,71034,70864,78441,84917,89843,98288,102183,98909,99074,94807,93843
"02280","Wrangell-Petersburg Census Area","AK",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",342184,335660,313136,273619,262829,265269,253032,212922,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"02282","Yakutat City and Borough","AK*",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",29081,29295,29499,31925,32550,34718,38747,34413,30477,32455,33252,34997,46093,44444,37695,26263,25689,26876,28935,30972
"02290","Yukon-Koyukuk Census Area","AK",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",438785,302767,303791,295350,288182,294710,345821,322273,317768,373624,426421,394726,290976,242465,235798,251488,260791,273293,270179,256635
"01001","Autauga","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",949800,984039,1008032,1170278,1195319,1277094,1298942,1172510,1209088,1286603,1375813,1587254,1477094,1478607,1586164,1652177,1587695,1602077,1540762,1520973
"01003","Baldwin","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",4007706,4193288,4426472,4912303,5502688,5673657,5852051,5569570,5328816,5381575,5372338,5426597,5678991,5775601,5992794,6266434,6453588,6799715,7134734,6985901
"01005","Barbour","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",812751,798398,818206,888479,892271,875189,845113,790132,774354,784043,741762,713793,808975,762048,740218,727850,721125,730518,729105,687074
"01007","Bibb","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",292495,296437,309513,324760,322815,325779,346544,344498,337952,364023,372908,363604,361921,356088,343948,348377,353234,353016,380453,388330
"01009","Blount","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",810054,814356,839651,863041,887578,856880,850648,853788,843906,839899,808595,879500,873500,893431,936725,865373,920401,967135,932215,881874
"01011","Bullock","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",234911,242874,239075,236364,234789,244146,229268,225788,254445,238863,230337,245887,225539,209790,204365,222938,225304,235358,247229,250385
"01013","Butler","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",435433,450276,468458,492437,487731,485727,515248,499219,468208,541838,568182,553941,563728,560184,578140,567733,584855,609244,615641,574717
"01015","Calhoun","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",3487094,3585435,3716295,4032708,4275113,4285067,4400426,4438806,4197841,4366524,4160592,4155626,4026676,3863268,3805848,3845108,3904458,3959304,4114829,3982561
"01017","Chambers","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",841042,865276,791878,864369,825600,781516,776993,673860,639027,688104,758736,739793,768603,753719,769394,782283,785046,807107,817533,808162
"01019","Cherokee","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",384513,382810,402567,439789,432971,451873,471507,488087,447124,473975,477731,491707,525840,513412,519042,510173,508778,540834,527358,475640
"01021","Chilton","AL",5,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",638533,661191,687967,735488,757322,772025,779808,736165,723669,741080,807066,833949,873107,813025,833899,858556,880016,918168,980365,957204
